,p value,node index,perturbed
0,0.0001,0,True
1,0.7965,1,False
2,0.8321,2,False
3,0.0459,3,False
4,0.8903,4,False
5,0.2053,5,False
6,0.044,6,False
7,0.7405,7,False
8,0.9608,8,False
9,0.5382,9,False
10,0.4395,10,False
11,0.0812,11,False
12,0.5871,12,False
13,0.3535,13,False
14,0.8147,14,False
15,0.7094,15,False
16,0.9536,16,False
17,0.0581,17,False
18,0.0927,18,False
19,0.8813,19,False
20,0.0435,20,False
21,0.2256,21,False
22,0.1607,22,False
23,0.2683,23,False
24,0.5639,24,False
25,0.8541,25,False
26,0.5482,26,False
27,0.528,27,False
28,0.0349,28,False
29,0.0698,29,False
30,0.0042,30,False
31,0.4059,31,False
32,0.2254,32,False
33,0.1184,33,False
34,0.0927,34,False
35,0.2567,35,False
36,0.8256,36,False
37,0.688,37,False
38,0.8204,38,False
39,0.2904,39,False
40,0.0875,40,False
41,0.0014,41,False
42,0.9792,42,False
43,0.0284,43,False
44,0.503,44,False
45,0.8911,45,False
46,0.5732,46,False
47,0.2022,47,False
48,0.8947,48,False
49,0.1602,49,False
50,0.209,50,False
51,0.7596,51,False
52,0.4624,52,False
53,0.5647,53,False
54,0.3196,54,False
55,0.6239,55,False
56,0.775,56,False
57,0.2704,57,False
58,0.4284,58,False
59,0.6701,59,False
60,0.8791,60,False
61,0.9074,61,False
62,0.3499,62,False
63,0.9231,63,False
64,0.3257,64,False
65,0.1807,65,False
66,0.1707,66,False
67,0.0295,67,False
68,0.5613,68,False
69,0.7915,69,False
70,0.7826,70,False
71,0.8517,71,False
72,0.2816,72,False
73,0.1731,73,False
74,0.4404,74,False
75,0.0189,75,False
76,0.7767,76,False
77,0.3766,77,False
78,0.1387,78,False
79,0.5925,79,False
80,0.7898,80,False
81,0.782,81,False
82,0.6592,82,False
83,0.2562,83,False
84,0.42,84,False
85,0.0542,85,False
86,0.6988,86,False
87,0.085,87,False
88,0.6773,88,False
89,0.797,89,False
90,0.9089,90,False
91,0.7841,91,False
92,0.0152,92,False
93,0.2696,93,False
94,0.9187,94,False
95,0.2126,95,False
96,0.5934,96,False
97,0.9547,97,False
98,0.1198,98,False
99,0.8335,99,False
100,0.8079,100,False
101,0.8931,101,False
102,0.5431,102,False
103,0.3934,103,False
104,0.0076,104,False
105,0.3802,105,False
106,0.0678,106,False
107,0.6919,107,False
108,0.3107,108,False
109,0.3138,109,False
110,0.6623,110,False
111,0.3063,111,False
112,0.254,112,False
113,0.0502,113,False
114,0.7657,114,False
115,0.7532,115,False
116,0.9303,116,False
117,0.6052,117,False
118,0.6871,118,False
119,0.8002,119,False
120,0.5592,120,False
121,0.2739,121,False
122,0.9959,122,False
123,0.5564,123,False
124,0.0847,124,False
125,0.3726,125,False
126,0.1577,126,False
127,0.0869,127,False
128,0.1801,128,False
129,0.9306,129,False
130,0.3869,130,False
131,0.6074,131,False
132,0.0085,132,False
133,0.0824,133,False
134,0.5481,134,False
135,0.3236,135,False
136,0.086,136,False
137,0.4976,137,False
138,0.8924,138,False
139,0.9505,139,False
140,0.4843,140,False
141,0.4591,141,False
142,0.0451,142,False
143,0.0397,143,False
144,0.0775,144,False
145,0.3795,145,False
146,0.8205,146,False
147,0.2378,147,False
148,0.1225,148,False
149,0.6598,149,False
150,0.472,150,False
151,0.9034,151,False
152,0.6596,152,False
153,0.9885,153,False
154,0.232,154,False
155,0.6681,155,False
156,0.9327,156,False
157,0.3009,157,False
158,0.2824,158,False
159,0.8431,159,False
160,0.8132,160,False
161,0.2749,161,False
162,0.1772,162,False
163,0.6498,163,False
164,0.5326,164,False
165,0.2466,165,False
166,0.9157,166,False
167,0.1038,167,False
168,0.8911,168,False
169,0.4898,169,False
170,0.6958,170,False
171,0.8526,171,False
172,0.4001,172,False
173,0.8884,173,False
174,0.4993,174,False
175,0.4295,175,False
176,0.5882,176,False
177,0.0753,177,False
178,0.442,178,False
179,0.8093,179,False
180,0.3833,180,False
181,0.0669,181,False
182,0.2738,182,False
183,0.2658,183,False
184,0.1387,184,False
185,0.8779,185,False
186,0.2086,186,False
187,0.7608,187,False
188,0.9252,188,False
189,0.5597,189,False
190,0.9485,190,False
191,0.9534,191,False
192,0.6402,192,False
193,0.6773,193,False
194,0.5826,194,False
195,0.5568,195,False
196,0.2772,196,False
197,0.2032,197,False
198,0.1356,198,False
199,0.0693,199,False
